,LISTID,PRESENTED_WORD,PRESENT_POSITION,HIT,PARTICIPANT_GROUP,MOST_SIM_VAL,MOST_SIM_DIST,AVG_SIM_PREV_2,AVG_CONTRAST_3,PREV_SIM,PRESENT_ZONE,P_ID
1981,2,KAPI,8,1,eng,0.43674022,5.0,0.32755040999999996,0.5138574988341666,0.40499806,2,eng18
1982,2,BÜYÜK,9,1,eng,0.40214,8.0,0.334397495,0.5433331702516455,0.32838392,2,eng18
1983,2,KAŞIK,10,0,eng,0.589364,5.0,0.333940685,0.4493525860980374,0.32080743,3,eng18
1984,2,SEHPA,11,0,eng,0.5529075,1.0,0.41731625,0.41027504414878124,0.5529075,3,eng18
1985,2,TAŞLIK,12,1,eng,0.56647515,5.0,0.52010793,0.4608353468023003,0.5061009,3,eng18
1986,2,SPOR,13,1,eng,0.40417683,6.0,0.25618752499999997,0.6297179161840472,0.26740217,3,eng18
1987,2,TOPLU,14,0,eng,0.3854969,13.0,0.31574738,0.5528724615605458,0.28589264,3,eng18
1988,2,KOLTUK,15,0,eng,0.4808347,4.0,0.179790205,0.6905645878011952,0.16557239,3,eng18
1989,2,CÜZDAN,16,0,eng,0.5454403,5.0,0.320080195,0.5744613242694678,0.28515083,3,eng18
1990,2,GRUP,17,1,eng,0.40395597,4.0,0.247890675,0.5962699691582216,0.25811055,3,eng18
1991,3,SALÇA,1,1,eng,,,,0.38626170383754377,,1,eng18
1992,3,KÜÇÜK,2,0,eng,0.36133695,1.0,0.36133695,0.5333140045119262,0.36133695,1,eng18
1993,3,YATAK,3,0,eng,0.39775768,2.0,0.37173604,0.5111135389512056,0.3457144,1,eng18
1994,3,FIRIN,4,0,eng,0.61937714,3.0,0.367703325,0.4302609041009062,0.37166205,1,eng18
1995,3,DÜĞME,5,1,eng,0.62399864,4.0,0.445783165,0.31320991733162995,0.49401605,2,eng18
1996,3,KOLA,6,0,eng,0.5345457,5.0,0.459736985,0.41697614781869485,0.52985805,2,eng18
1997,3,PARKUR,7,0,eng,0.36667022,4.0,0.30972323999999996,0.5818101000103004,0.27185863,2,eng18
1998,3,LAMBA,8,0,eng,0.66616935,3.0,0.40216572,0.41347981986761984,0.36776924,2,eng18
1999,3,ÇİÇEK,9,0,eng,0.4708734,7.0,0.30829984,0.46420757148788594,0.35387048,2,eng18
2000,3,HALI,10,0,eng,0.484204,9.0,0.32963447999999995,0.526826706865007,0.31026676,3,eng18
2001,3,TOPRAK,11,0,eng,0.3972849,2.0,0.35386861999999997,0.5006853336398238,0.31045234,3,eng18
2002,3,KOKU,12,0,eng,0.49111593,11.0,0.351030495,0.49106689214042143,0.36813366,3,eng18
2003,3,KALAS,13,0,eng,0.4007821,11.0,0.298804815,0.629547502440805,0.26692703,3,eng18
2004,3,ODA,14,0,eng,0.4827052,11.0,0.21279448,0.5573922086055483,0.14567086,3,eng18
2005,3,DUVAR,15,0,eng,0.4160808,10.0,0.30590145,0.4965774924547065,0.30847427,3,eng18
2006,3,DOLAP,16,1,eng,0.59253436,11.0,0.4323952,0.4353623700873718,0.471445,3,eng18
2007,3,KİTAP,17,1,eng,0.43762326,1.0,0.38590987,0.5365569350279722,0.43762326,3,eng18
2008,4,HALKA,1,0,eng,,,,0.5241787986037558,,1,eng18
2009,4,HARİTA,2,0,eng,0.27613202,1.0,0.27613202,0.6426078818746397,0.27613202,1,eng18
2010,4,MEKTUP,3,0,eng,0.4055868,2.0,0.313814195,0.5811120277130475,0.22204159,1,eng18
2011,4,MARKET,4,0,eng,0.3330528,3.0,0.26981204999999997,0.4485590542276515,0.2668202,1,eng18
2012,4,KASA,5,1,eng,0.47207937,1.0,0.364239175,0.49193847276638447,0.47207937,2,eng18
2013,4,ZEMİN,6,1,eng,0.37907192,2.0,0.32978898,0.5464975381558301,0.28050604,2,eng18
2014,4,PARA,7,1,eng,0.42892715,2.0,0.35416044,0.4855154183077396,0.27939373,2,eng18
2015,4,SULUK,8,0,eng,0.38278615,2.0,0.350141825,0.5015172226030762,0.3174975,2,eng18
2016,4,SIRA,9,0,eng,0.31013894,8.0,0.26543153,0.6350903661558429,0.24190436,2,eng18
2017,4,TAHTA,10,0,eng,0.45019683,6.0,0.31032139000000003,0.5051187575934765,0.22751178,3,eng18
2018,4,KALIP,11,0,eng,0.4077956,3.0,0.30833442499999997,0.4844802610192921,0.34271187,3,eng18
2019,4,ÇORAP,12,0,eng,0.47379452,1.0,0.46332008999999996,0.450690034355376,0.47379452,3,eng18
2020,4,SİLGİ,13,0,eng,0.4086417,1.0,0.3794453,0.47072089964778574,0.4086417,3,eng18
2021,4,BAHÇE,14,0,eng,0.42791113,4.0,0.36095548499999996,0.4699075496934261,0.3559496,3,eng18
2022,4,TERAS,15,1,eng,0.5827601,1.0,0.45833889,0.47186307605342825,0.5827601,3,eng18
2023,4,DERGİ,16,0,eng,0.3527386,12.0,0.262077765,0.5835832500748585,0.26846683,3,eng18
2024,4,KUTU,17,0,eng,0.50979894,7.0,0.32872614,0.561326058977198,0.3613815,3,eng18
2031,1,KALEM,1,1,soc,,,,0.5050460444503806,,1,soc17
2032,1,ÖLÇEK,2,1,soc,0.3389012,1.0,0.3389012,0.546847757455352,0.3389012,1,soc17
2033,1,KAĞIT,3,0,soc,0.4597374,2.0,0.406087565,0.39077458428208245,0.35243773,1,soc17
2034,1,AĞAÇ,4,0,soc,0.54864174,1.0,0.466043145,0.3797620844270767,0.54864174,1,soc17
2035,1,ŞİŞE,5,0,soc,0.44336507,1.0,0.43587746,0.5033229725919213,0.44336507,2,soc17
2036,1,PARK,6,1,soc,0.42821342,2.0,0.357832985,0.513870674854741,0.28745255,2,soc17
2037,1,KALE,7,0,soc,0.4019536,6.0,0.34323287,0.5339993507058334,0.39377257,2,soc17
2038,1,SARI,8,1,soc,0.38170138,5.0,0.29565523,0.5692034982510146,0.35213766,2,soc17
2039,1,KÖPEK,9,0,soc,0.46202505,5.0,0.25619121,0.5036297606060653,0.26838222,2,soc17
2040,1,RAKAM,10,0,soc,0.42579085,7.0,0.299548465,0.549967484908952,0.33812043,3,soc17
2041,1,BEYİN,11,0,soc,0.4649074,2.0,0.41457535,0.4662139330469359,0.3642433,3,soc17
2042,1,BİNA,12,0,soc,0.40404665,6.0,0.31623694999999996,0.5456972469105923,0.3361335,3,soc17
2043,1,KOLAY,13,1,soc,0.38691002,10.0,0.29232166,0.5541445939303775,0.29924142,3,soc17
2044,1,ÇANTA,14,0,soc,0.475014,9.0,0.30955786,0.5165058788114276,0.31023642,3,soc17
2045,1,YAZI,15,1,soc,0.4933328,14.0,0.308419785,0.5632321185959626,0.29162297,3,soc17
2046,1,EKRAN,16,0,soc,0.2835013,14.0,0.23864956999999998,0.6198722569784645,0.25200498,3,soc17
2047,1,KABLO,17,0,soc,0.4190494,3.0,0.31549077000000003,0.4964882529469401,0.34407964,3,soc17
2048,1,BARDAK,18,0,soc,0.57344735,13.0,0.297474,0.6003177458591239,0.33978254,3,soc17
2049,2,TERLİK,1,1,soc,,,,0.48696114995075634,,1,soc17
2050,2,ELMA,2,0,soc,0.3695178,1.0,0.3695178,0.48946047035086815,0.3695178,1,soc17
2051,2,KEDİ,3,0,soc,0.4558914,2.0,0.44713813,0.477629610791071,0.43838486,1,soc17
2052,2,BÜYÜK,4,0,soc,0.35061005,2.0,0.31714787499999997,0.5026774946867641,0.2836857,1,soc17
2053,2,SEHPA,5,0,soc,0.5154791,4.0,0.38999877,0.4879417549852806,0.281725,2,soc17
2054,2,KISA,6,0,soc,0.40214,2.0,0.317481425,0.5300039467105372,0.23282285,2,soc17
2055,2,GRUP,7,0,soc,0.39615887,6.0,0.32752745000000005,0.5289873063102206,0.3189331,2,soc17
2056,2,TOPLU,8,0,soc,0.3854969,2.0,0.37147286,0.4818044913554721,0.35744882,2,soc17
2057,2,TAŞLIK,9,1,soc,0.56647515,8.0,0.33391734500000003,0.4380952129023381,0.34560212,2,soc17
2058,2,KAŞIK,10,0,soc,0.5529075,5.0,0.42139993,0.45109663930425303,0.53411496,3,soc17
2059,2,DEFTER,11,0,soc,0.4031799,2.0,0.38212765,0.5318090094331283,0.3610754,3,soc17
2060,2,TABAK,12,0,soc,0.589364,2.0,0.452125285,0.44665672784524635,0.31488657,3,soc17
2061,2,SPOR,13,0,soc,0.40417683,12.0,0.24416787,0.6592536091084638,0.24731338,3,soc17
2062,2,KAPI,14,1,soc,0.5148338,9.0,0.28619316,0.5057757651502189,0.20968714,3,soc17
2063,2,KOLTUK,15,0,soc,0.4808347,10.0,0.27445814,0.6149304957346935,0.35490826,3,soc17
2064,2,CÜZDAN,16,0,soc,0.5454403,11.0,0.365150065,0.4642247689026189,0.28515083,3,soc17
2065,2,İLAÇ,17,0,soc,0.4146146,16.0,0.28972844000000003,0.6394665480173614,0.39676955,3,soc17
2066,3,DÜĞME,1,0,soc,,,,0.3932028713724738,,1,soc17
2067,3,LAMBA,2,0,soc,0.66616935,1.0,0.66616935,0.4134251362273428,0.66616935,1,soc17
2068,3,YATAK,3,0,soc,0.39755028,2.0,0.39156077499999997,0.5047291554971245,0.38557127,1,soc17
2069,3,HALI,4,0,soc,0.41179383,3.0,0.373419935,0.5153260405209982,0.39783767,1,soc17
2070,3,KOKU,5,0,soc,0.46388754,4.0,0.31969615500000004,0.4889212620478982,0.33392733,2,soc17
2071,3,SALÇA,6,1,soc,0.62399864,5.0,0.487659965,0.35521954481490114,0.49111593,2,soc17
2072,3,ODA,7,0,soc,0.4827052,4.0,0.258191815,0.6064449004168351,0.23646553,2,soc17
2073,3,KOLA,8,1,soc,0.5345457,2.0,0.366560485,0.5273011469797587,0.19857527,2,soc17
