ListID,Presented Word,Present Position,Recalled Word,Recall Position,Reaction Time,Hit,Participant ID,Participant Group
2,SPOR,14,,,,0,8,soc
2,KISA,15,,,,0,8,soc
2,KEDİ,16,,,,0,8,soc
2,BÜYÜK,17,büyük,1.0,3.893755899975076,1,8,soc
3,KALAS,1,kalas,1.0,2.362677299999632,1,8,soc
3,FIRIN,2,fırın,3.0,0.930034099961631,1,8,soc
3,CAM,3,,,,0,8,soc
3,DUVAR,4,,,,0,8,soc
3,KÜÇÜK,5,,,,0,8,soc
3,PARKUR,6,,,,0,8,soc
3,TOPRAK,7,,,,0,8,soc
3,LAMBA,8,,,,0,8,soc
3,YATAK,9,,,,0,8,soc
3,SALÇA,10,,,,0,8,soc
3,HALI,11,,,,0,8,soc
3,KOKU,12,,,,0,8,soc
3,ÇİÇEK,13,,,,0,8,soc
3,ODA,14,,,,0,8,soc
3,DÜĞME,15,düğme,4.0,3.5806406000629067,1,8,soc
3,DOLAP,16,,,,0,8,soc
3,KİTAP,17,kitap,2.0,1.3664210999850184,1,8,soc
4,TAHTA,1,tahta,3.0,2.1763792000710964,1,8,soc
4,ÇORAP,2,çorap,4.0,4.7876474999357015,1,8,soc
4,PARA,3,,,,0,8,soc
4,HALKA,4,,,,0,8,soc
4,SİLGİ,5,,,,0,8,soc
4,ZEMİN,6,,,,0,8,soc
4,SIRA,7,,,,0,8,soc
4,KASA,8,,,,0,8,soc
4,TERAS,9,,,,0,8,soc
4,MARKET,10,,,,0,8,soc
4,HARİTA,11,,,,0,8,soc
4,MEKTUP,12,,,,0,8,soc
4,KUTU,13,,,,0,8,soc
4,BAHÇE,14,,,,0,8,soc
4,KALIP,15,,,,0,8,soc
4,FIRIN,16,fırın,3.0,0.930034099961631,2,8,soc
4,DERGİ,17,dergi,1.0,2.519937500008382,1,8,soc
0,MASA,1,MASA,1.0,0.9031899999972666,1,8,eng
0,CAM,2,CAM,2.0,0.7216746999911265,1,8,eng
0,SU,3,SU,3.0,0.9158244999998716,1,8,eng
0,İYİLİK,4,İYİLİK,4.0,1.078238699992653,1,8,eng
0,TÜTÜN,5,TÜTÜN,5.0,2.2899425999930827,1,8,eng
0,KELİME,6,KELİME,6.0,0.8377310000068974,1,8,eng
1,KAĞIT,1,KAĞIT,3.0,0.8812174999911804,1,8,eng
1,BİNA,2,,,,0,8,eng
1,AĞAÇ,3,AĞAÇ,7.0,1.9816138000023784,1,8,eng
1,PARK,4,PARK,6.0,2.481664200007799,1,8,eng
1,KALEM,5,KALEM,4.0,0.8774941000010585,1,8,eng
1,SARI,6,,,,0,8,eng
1,EKRAN,7,,,,0,8,eng
1,ŞİŞE,8,,,,0,8,eng
1,KÖPEK,9,,,,0,8,eng
1,ÖLÇEK,10,,,,0,8,eng
1,BARDAK,11,,,,0,8,eng
1,RAKAM,12,,,,0,8,eng
1,YAZI,13,YAZI,5.0,0.7776688000012655,1,8,eng
1,KOLAY,14,,,,0,8,eng
1,ÇANTA,15,,,,0,8,eng
1,KABLO,16,,,,0,8,eng
1,BEYİN,17,BEYİN,2.0,0.9696326999983284,1,8,eng
1,KALE,18,KALE,1.0,1.5111268000036944,1,8,eng
2,SPOR,1,,,,0,8,eng
2,KISA,2,,,,0,8,eng
2,BÜYÜK,3,BÜYÜK,7.0,5.3621784999995725,1,8,eng
2,KAPI,4,KAPI,8.0,1.1470211999985622,1,8,eng
2,KEDİ,5,KEDİ,6.0,3.478678599989508,1,8,eng
2,KAŞIK,6,,,,0,8,eng
2,İLAÇ,7,,,,0,8,eng
2,CÜZDAN,8,,,,0,8,eng
2,TAŞLIK,9,,,,0,8,eng
2,TOPLU,10,TOPLU,2.0,1.2442180000070948,1,8,eng
2,ELMA,11,,,,0,8,eng
2,SEHPA,12,SEHPA,4.0,1.0735416999959853,1,8,eng
2,KOLTUK,13,,,,0,8,eng
2,TABAK,14,TABAK,3.0,0.9773534999985714,1,8,eng
2,TERLİK,15,TERLİK,5.0,1.1576969000016106,1,8,eng
2,GRUP,16,,,,0,8,eng
2,DEFTER,17,DEFTER,1.0,1.2478449000045655,1,8,eng
3,TOPRAK,1,,,,0,8,eng
3,DOLAP,2,,,,0,8,eng
3,DUVAR,3,DUVAR,7.0,1.3669955000077607,1,8,eng
3,KİTAP,4,,,,0,8,eng
3,ODA,5,ODA,6.0,0.7173989000002621,1,8,eng
3,KÜÇÜK,6,KÜÇÜK,5.0,2.130389899990405,1,8,eng
