,LISTID,PRESENTED_WORD,PRESENT_POSITION,HIT,PARTICIPANT_GROUP,MOST_SIM_VAL,MOST_SIM_DIST,AVG_SIM_PREV_1,AVG_CONTRAST_1,AVG_SIM_PREV_5,AVG_CONTRAST_5,PREV_SIM,STM_SEMANTIC_D,STM_MAX_SIM,STM_MAX_SIM_DIST,STM_MAX_SIM_POS,UNIQUENESS,PRESENT_ZONE,SAME_CLUSTER_IN_Z1,SAME_CLUSTER_IN_Z2,SAME_CLUSTER_IN_Z3,SAME_CLUSTER_IN_Z1_COUNT,SAME_CLUSTER_IN_Z2_COUNT,SAME_CLUSTER_IN_Z3_COUNT,CATEGORY_IN_STM_4,CATEGORY_IN_STM_1,CLUSTER,P_ID
2365,2,KOLTUK,17,1,soc,0.7434975641506587,15.0,0.0679469348657798,0.7786424022199058,0.19232615007362228,0.5961714138812333,0.0679469348657798,1.6027662052652418,0.25315691501291404,3,13,0.6391082227735421,3,0,0,1,0,0,1,0,0,3,soc15
2366,3,SALÇA,1,1,soc,,,,0.7518237412272141,,0.533862959029725,,0.0,1.0,0,0,1.0,1,1,0,1,1,0,4,0,0,0,soc15
2367,3,KİTAP,2,0,soc,0.10848375379181596,1.0,0.10848375379181596,0.7369377734480418,0.10848375379181596,0.5298369126010547,0.10848375379181596,0.0,0.10848375379181596,1,0,0.7518237412272141,1,1,0,0,1,0,0,0,0,8,soc15
2368,3,KOLA,3,1,soc,0.8559760341270273,2.0,0.0700152995241603,0.7535456233154958,0.4629956668255938,0.5425928028765156,0.0700152995241603,0.10848375379181596,0.8559760341270273,2,0,0.5927092927304158,1,1,1,0,1,1,0,0,0,2,soc15
2369,3,ODA,4,1,soc,0.35278921307620603,2.0,0.0424908763331719,0.7023857742266211,0.16153845094474772,0.5745613875613272,0.0424908763331719,1.0344750874430035,0.35278921307620603,2,1,0.6379132392924933,1,1,1,1,1,2,1,0,0,3,soc15
2370,3,PARKUR,5,0,soc,0.3038160401033261,3.0,0.2103539304892988,0.6494883959018602,0.23148311010496453,0.5343512101209609,0.2103539304892988,1.5190904402772467,0.3038160401033261,3,1,0.5733275835830958,2,1,1,1,1,2,1,1,1,3,soc15
2371,3,KÜÇÜK,6,1,soc,0.5828482985109196,3.0,0.19396905448262136,0.6228066037761361,0.3603104688467007,0.4393761494682622,0.19396905448262136,1.1335250972697861,0.5828482985109196,3,2,0.5094284950310151,2,0,1,1,0,1,1,0,0,7,soc15
2372,3,DUVAR,7,0,soc,0.44545718329862005,6.0,0.28670730434761627,0.6104462354778526,0.28113284791465,0.4604717969227766,0.28670730434761627,1.482254230176773,0.3028795353044267,4,2,0.553502904582891,2,1,1,1,1,2,1,1,0,3,soc15
2373,3,TOPRAK,8,0,soc,0.3969815277750878,2.0,0.2664981112240036,0.5638384707574156,0.24029018137264888,0.5015766351356965,0.2664981112240036,1.4929471200854942,0.3969815277750878,2,5,0.5796766452961455,2,0,1,1,0,1,1,0,0,4,soc15
2374,3,ÇİÇEK,9,1,soc,0.7185540294184415,3.0,0.5057224384953654,0.5122725501883016,0.3417486442202156,0.49017130518721674,0.5057224384953654,1.513713992423967,0.7185540294184415,3,5,0.47125728004649514,2,1,1,0,1,1,0,0,0,2,soc15
2375,3,DOLAP,10,0,soc,0.7797495872476483,9.0,0.4722767057524929,0.47414509836096497,0.47740787924119915,0.3378707806738247,0.4722767057524929,2.4721400751052336,0.7200170034852962,3,6,0.4642456332967798,3,1,0,1,1,0,4,0,0,0,soc15
